Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Phacochoerus_aethiopicus_NHMUK_66.807_01AUG1962_spec2,Phacochoerus aethiopicus,Placental,E,337.3779192,5.821203724,23.02176926,Group1,E,Group1,Precocial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
Phacochoerus_aethiopicus_NHMUK_66.807_28AUG1962,Phacochoerus aethiopicus,Placental,E,359.3361574,5.884258322,24.52014086,Group1,E,Group1,Precocial,Herbivore,2,2,4,1,1,1,1,2,1,4,2,2,2,2,1,1,1,1,1,2,2,1,1,3,2,2,1,2,1,2,2
Phacochoerus_aethiopicus_NHMUK_66.808_A,Phacochoerus aethiopicus,Placental,E,353.4430063,5.867722245,24.11800795,Group1,E,Group1,Precocial,Herbivore,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
Phacochoerus_aethiopicus_NHMUK_66.811,Phacochoerus aethiopicus,Placental,I,411.8411608,6.020637743,28.10294224,Group1,I,Group2,Precocial,Herbivore,4,3,4,2,1,5,4,4,1,4,3,4,4,3,1,2,1,1,2,2,3,2,4,4,3,2,2,3,2,3,3
Phacochoerus_aethiopicus_NHMUK_71.2124,Phacochoerus aethiopicus,Placental,I,1090.918161,6.99477497,74.44134531,Group3,I,Group2,Precocial,Herbivore,4,3,4,5,5,2,5,3,4,4,4,4,4,5,5,1,2,3,3,4,5,2,3,3,4,3,4,2,2,5,4
Phacochoerus_aethiopicus_NHMUK_71.2125,Phacochoerus aethiopicus,Placental,I,1149.77733,7.047323577,78.457738,Group4,SA,Group3,Precocial,Herbivore,4,4,5,5,5,2,5,3,1,3,4,3,5,5,5,1,1,4,3,3,5,1,2,1,4,3,4,2,2,4,4
Phacochoerus_aethiopicus_NHMUK_71.7.3.4,Phacochoerus aethiopicus,Placental,I,593.9176848,6.386740732,40.52735855,Group2,I,Group2,Precocial,Herbivore,5,5,5,5,1,3,5,5,2,5,3,5,5,5,5,4,3,3,1,2,5,1,5,5,3,4,4,3,3,5,3
Phascolarctos_cincereus_KoalasBottomMiddle_spec2,Phascolarctos cincereus,Marsupial,I,260.5832059,5.562922219,52.54573099,Group2,I,Group2,Super-altricial,Herbivore,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,3,3,5,3,5,3,1,3,4,4,3,1,1,1,4
Phascolarctos_cincereus_Pcin3-1_57days,Phascolarctos cincereus,Marsupial,I,90.37996137,4.504022577,18.2248166,Group1,I,Group2,Super-altricial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Phascolarctos_cincereus_Pcin3-13_51days,Phascolarctos cincereus,Marsupial,I,74.68562597,4.31328765,15.06010641,Group1,I,Group2,Super-altricial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1
Phascolarctos_cincereus_Pcin3-5_46days,Phascolarctos cincereus,Marsupial,I,73.18727149,4.293021519,14.75796825,Group1,I,Group2,Super-altricial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phascolarctos_cincereus_Pcin3-6_25days,Phascolarctos cincereus,Marsupial,I,49.30691805,3.898064397,9.942574935,Group1,I,Group2,Super-altricial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phascolarctos_cincereus_Pcin3-7_21days,Phascolarctos cincereus,Marsupial,I,43.47890878,3.772275965,8.767376379,Group1,I,Group2,Super-altricial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
