X,Specimen_name,Subclass,Major_clades,Species,Age,CS,CS_logged,CS_percent_adult,Discrete_age,Discrete_age_group,PTA_age_group,Dev_strategy,Diet,Diet_3_cats,Mars-plac,Coronoid
62,Manis_tricuspis_NHMUK_1999.93,Eutheria,Laurasiatheria,Phataginus tricuspis,I,175.4496671,5.167352205,72.85251824,I,Group2,Group2,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
63,Manis_tricuspis_NHMUK_66.3562,Eutheria,Laurasiatheria,Phataginus tricuspis,I,217.3550009,5.381531966,90.25300207,SA,Group3,Group3,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
64,Manis_tricuspis_NHMUK_9.1.4.66,Eutheria,Laurasiatheria,Phataginus tricuspis,I,180.5671042,5.196102477,74.97744777,I,Group2,Group2,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
65,Manis_tricuspis_NHMUK_91.363,Eutheria,Laurasiatheria,Phataginus tricuspis,I,203.2322409,5.314349369,84.38876392,I,Group2,Group2,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
66,Manis_tricuspis_NHMUK_95.7.17.1,Eutheria,Laurasiatheria,Phataginus tricuspis,I,167.6921359,5.122129774,69.63133411,I,Group2,Group2,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
67,Microcebus_murinus_DLC_7030f,Eutheria,Euarchontoglires,Microcebus murinus,A,140.6334422,4.946156805,98.38397162,A,Group4,Group4,Semi-altricial,Frugivore,Herbivore,Placental,Very large
68,Microcebus_murinus_infant1,Eutheria,Euarchontoglires,Microcebus murinus,I,89.30794711,4.492090477,62.47781748,I,Group2,Group2,Semi-altricial,Frugivore,Herbivore,Placental,Very large
69,Microcebus_murinus_infant2,Eutheria,Euarchontoglires,Microcebus murinus,I,123.0739094,4.812785064,86.0997201,I,Group2,Group2,Semi-altricial,Frugivore,Herbivore,Placental,Very large
70,Microcebus_murinus_juvenile,Eutheria,Euarchontoglires,Microcebus murinus,I,142.9434489,4.96244909,100,SA,Group3,Group3,Semi-altricial,Frugivore,Herbivore,Placental,Very large
71,Monodelphis_domestica_10days,Metatheria,Marsupialia,Monodelphis domestica,E,19.8529336,2.988351785,12.13896139,E,Group1,Group1,Super-altricial,Omnivore,Omnivore,Marsupial,Large
72,Monodelphis_domestica_20days,Metatheria,Marsupialia,Monodelphis domestica,E,50.96146191,3.931069698,31.16009105,E,Group1,Group1,Super-altricial,Omnivore,Omnivore,Marsupial,Large
73,Monodelphis_domestica_22days,Metatheria,Marsupialia,Monodelphis domestica,I,51.11679518,3.934113116,31.25506868,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
74,Monodelphis_domestica_25days,Metatheria,Marsupialia,Monodelphis domestica,I,59.60037222,4.087661819,36.44230278,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
75,Monodelphis_domestica_30days,Metatheria,Marsupialia,Monodelphis domestica,I,66.82122569,4.20202078,40.85745185,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
76,Monodelphis_domestica_35days,Metatheria,Marsupialia,Monodelphis domestica,I,74.13892012,4.305940632,45.33181378,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
77,Monodelphis_domestica_6days,Metatheria,Marsupialia,Monodelphis domestica,I,16.13896211,2.781236355,9.86807501,E,Group1,Group1,Super-altricial,Omnivore,Omnivore,Marsupial,Large
78,Monodelphis_domestica_TMM-M-7539_57days,Metatheria,Marsupialia,Monodelphis domestica,I,96.72012241,4.571821472,59.13895927,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
79,Monodelphis_domestica_TMM-M-7542_75days,Metatheria,Marsupialia,Monodelphis domestica,I,108.2991896,4.684897671,66.21891292,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
80,Monodelphis_domestica_TMM-M-8268_90days,Metatheria,Marsupialia,Monodelphis domestica,I,130.3215978,4.870005225,79.684387,SA,Group3,Group3,Super-altricial,Omnivore,Omnivore,Marsupial,Large
81,Monodelphis_domestica_TMM-M-8269_48days,Metatheria,Marsupialia,Monodelphis domestica,I,91.71048879,4.518636754,56.07584778,I,Group2,Group2,Super-altricial,Omnivore,Omnivore,Marsupial,Large
82,Monodelphis_domestica_TMM-M-9038_adult,Metatheria,Marsupialia,Monodelphis domestica,A,163.5472176,5.097101741,100,A,Group4,Group4,Super-altricial,Omnivore,Omnivore,Marsupial,Large
83,Monodelphis_domestica_UMUT-DK150007_15days,Metatheria,Marsupialia,Monodelphis domestica,E,41.1187478,3.716464168,25.14182045,E,Group1,Group1,Super-altricial,Omnivore,Omnivore,Marsupial,Large
84,Mus_musculus_14days_cfos_WT_1051,Eutheria,Euarchontoglires,Mus musculus,I,67.85540875,4.217379099,77.47578068,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
85,Mus_musculus_18days_cfos_WT_1044,Eutheria,Euarchontoglires,Mus musculus,I,75.5517106,4.32481733,86.26324516,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
86,Mus_musculus_25days_CD1_harddiet1,Eutheria,Euarchontoglires,Mus musculus,I,78.3000037,4.36054765,89.40118445,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
87,Mus_musculus_4.5moths_cfos_WT_1485,Eutheria,Euarchontoglires,Mus musculus,A,87.58273638,4.472583905,100,A,Group4,Group4,Altricial,Omnivore,Omnivore,Placental,Medium
88,Mus_musculus_5wks_cfos_het_1038,Eutheria,Euarchontoglires,Mus musculus,I,82.80038976,4.416432769,94.53962411,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
89,Mus_musculus_9wk_CD1_harddiet1,Eutheria,Euarchontoglires,Mus musculus,I,85.80655415,4.452095392,97.97199505,SA,Group3,Group3,Altricial,Omnivore,Omnivore,Placental,Medium
90,Ornithorhynchus_anatinus_NHMUK_1859.5.30.13,Prototheria,Monotremata,Ornithorhynchus anatinus,I,238.4324369,5.474085987,72.7690294,I,Group2,Group2,Super-altricial,Carnivore,Faunivore,Monotreme,Tiny
